T,mu,phi,Phi1,Phi2,mass,pressure,rho,entropy,energy,converged
50.00000000000001,0.0,-3.92172505239019,0.00010067563988748768,0.00010067563988748766,1.5310446410773404,18.273280236851733,1.714183590000456e-16,1.4350528632269886e-6,-18.273279873234223,1.0
51.00000000000001,0.0,-3.92172490949783,0.00011577941989900907,0.00011577941989900904,1.5310445862152748,18.273280245197856,1.1218134800302636e-16,1.8761506820194275e-6,-18.273279760306128,1.0
52.00000000000001,0.0,-3.921724727745878,0.0001325590224944963,0.00013255902249449634,1.5310445164334647,18.273280256060275,3.637267285427275e-17,2.4317483066178975e-6,-18.27327961525091,1.0
53.00000000000001,0.0,-3.921724498404461,0.00015113287974916046,0.00015113287974916046,1.5310444283801645,18.2732802700787,4.5737459272159797e-17,3.126175235570631e-6,-18.273279430432993,1.0
54.0,0.0,-3.9217242111963166,0.00017162235695949562,0.00017162235695949562,1.5310443181095237,18.273280288027095,-1.0375189676331109e-16,3.987775510863408e-6,-18.273279196759283,1.0
55.0,0.0,-3.9217238540979613,0.00019415155645813228,0.00019415155645813228,1.5310441810052489,18.27328031083389,-3.3417673406987257e-17,5.049370599699705e-6,-18.27327890346865,1.0
56.0,0.0,-3.9217234131279577,0.0002188471197525552,0.0002188471197525552,1.531044011699309,18.273280339605652,9.551096562514337e-18,6.348744617947008e-6,-18.27327853790445,1.0
57.0,0.0,-3.9217228721196116,0.0002458380289255857,0.00024583802892558563,1.5310438039846668,18.273280375654362,-6.8566115640447565e-18,7.929156715974246e-6,-18.273278085268043,1.0
58.0,0.0,-3.9217222124801063,0.0002752554083018382,0.00027525540830183816,1.5310435507227997,18.273280420527396,1.512292165677248e-16,9.83988673802694e-6,-18.27327752834967,1.0
59.0,0.0,-3.9217214129364337,0.0003072323273266051,0.0003072323273266051,1.5310432437461534,18.273280476036568,-1.0703995247945796e-16,1.2136773154615983e-5,-18.27327684724411,1.0
60.000000000000014,0.0,-3.921720449267005,0.0003419036055458074,0.0003419036055458073,1.531042873755095,18.273280544295602,6.139989805709695e-17,1.4882808660988469e-5,-18.273276019040853,1.0
61.00000000000001,0.0,-3.921719294021916,0.0003794056205159299,0.0003794056205159299,1.5310424302105141,18.27328062775603,3.0107191425371087e-17,1.8148724524261956e-5,-18.273275017498108,1.0
62.00000000000001,0.0,-3.921717916229298,0.0004198761194156492,0.00041987611941564915,1.5310419012210768,18.273280729249638,5.989366120086197e-17,2.2013607520371592e-5,-18.273273812695308,1.0
63.00000000000001,0.0,-3.921716281091908,0.00046345403506996123,0.000463454035069961,1.5310412734267362,18.273280852030993,1.6051111878258155e-16,2.656552205736618e-5,-18.273272370665314,1.0
64.00000000000001,0.0,-3.9217143496711424,0.0005102793070411727,0.0005102793070411727,1.5310405318774127,18.273280999824443,7.871503978096413e-17,3.190214314339816e-5,-18.273270653008648,1.0
65.00000000000001,0.0,-3.9217120785627326,0.0005604927083804055,0.0005604927083804055,1.5310396599084792,18.273281176875965,1.586241395155613e-16,3.8131410112808884e-5,-18.27326861648648,1.0
66.00000000000001,0.0,-3.9217094195622075,0.0006142356785777793,0.0006142356785777793,1.5310386390123203,18.273281388006055,-2.512048327708777e-16,4.5372173120738053e-5,-18.273266212597218,1.0
67.0,0.0,-3.9217063193216934,0.0006716501631917567,0.0006716501631917567,1.5310374487065634,18.273281638665363,1.277012776317137e-16,5.375484751401066e-5,-18.273263387133497,1.0
