T,rho,phi_u,phi_d,phi_s,Phi1,Phi2,mu_u,mu_d,mu_s,pressure,entropy,energy,converged
5.0,3.0,-0.07409946882299732,-0.07409946882300276,-1.8712919832485333,0.0048863182139108645,0.005106160477598773,2.1601322391805167,2.1601322391805167,2.1601322391805167,22.12669978251701,0.027736887424992206,5.367743106930678,1.0
5.0,2.99,-0.07449179687843561,-0.07449179687843424,-1.8713067449067036,0.0048735522980257245,0.005086948531938457,2.157756308155954,2.157756308155954,2.157756308155954,22.12186866175276,0.02765851594602074,5.25128045169877,1.0
5.0,2.98,-0.07488762677444492,-0.0748876267744393,-1.8713191134485723,0.004860851146754773,0.005068305793949272,2.155375187016652,2.155375187016652,2.155375187016652,22.117042831291922,0.027603981411953516,5.134799262775992,1.0
5.0,2.97,-0.07528698659434244,-0.07528698659433486,-1.8713296572931217,0.004848253126822481,0.005050069457903924,2.1529877970325564,2.1529877970325564,2.1529877970325564,22.112220290546908,0.02755787359280891,5.018081015478547,1.0
5.0,2.96,-0.07568991116654884,-0.07568991116654854,-1.8713388129929454,0.0048359015190645475,0.005032238011714064,2.1505933897604765,2.1505933897604765,2.1505933897604765,22.107399730990966,0.027501302512898954,4.9011258144002445,1.0
5.0,2.95,-0.07609644009402827,-0.07609644009402568,-1.871346915012317,0.004823926205716784,0.005014939683010295,2.1481920984648526,2.1481920984648526,2.1481920984648526,22.10258159626172,0.027422960474742623,4.784156380774856,1.0
5.0,2.94,-0.07650661539792096,-0.07650661539792326,-1.871354220200951,0.004812336218129393,0.0049983201782726385,2.145784922417014,2.145784922417014,2.145784922417014,22.097768001124997,0.02732587008780581,4.667485174976377,1.0
5.0,2.93,-0.07692047980871793,-0.07692047980872434,-1.8713609266129043,0.004800990918963711,0.0049824188664959156,2.143373139730432,2.143373139730432,2.143373139730432,22.092961541803497,0.027225440334796375,4.551322595192235,1.0
5.0,2.92,-0.0773380764603419,-0.07733807646033701,-1.8713671872944797,0.004789670026206417,0.004967112351530947,2.1409575090912742,2.1409575090912742,2.1409575090912742,22.088163736349628,0.027139820740735277,4.435646061066294,1.0
5.0,2.91,-0.07775944995102123,-0.07775944995101403,-1.8713731203019615,0.004778199957464997,0.0049521633224766754,2.1385377682994178,2.1385377682994178,2.1385377682994178,22.083374089373674,0.027078566679976195,4.320212986961165,1.0
5.0,2.9,-0.07818464793340245,-0.07818464793340771,-1.871378816266609,0.004766557476009574,0.004937346653557623,2.1361127621381324,2.1361127621381324,2.1361127621381324,22.0785903988849,0.02703665147365487,4.204709413362356,1.0
5.0,2.89,-0.07861372208297968,-0.07861372208298709,-1.871384344449339,0.004754883786022427,0.004922576163095436,2.1336811506228335,2.1336811506228335,2.1336811506228335,22.073810167440204,0.0269974378360603,4.088943942316132,1.0
5.0,2.88,-0.07904672764262452,-0.07904672764261984,-1.8713897577521097,0.00474339405813529,0.004907951497934817,2.1312422885705344,2.1312422885705344,2.1312422885705344,22.069032295827988,0.026942867855667105,3.9729701723474964,1.0
5.0,2.87,-0.0794837215871493,-0.079483721587159,-1.8713950968183304,0.004732231430771909,0.004893687739394741,2.12879672269525,2.12879672269525,2.12879672269525,22.06425799180672,0.026864776168681045,3.857059562136521,1.0
5.0,2.86,-0.07992476039397997,-0.07992476039398139,-1.8714003932292613,0.0047213565697574195,0.0048799623302628525,2.126345933390803,2.126345933390803,2.126345933390803,22.05949021120963,0.026770165414006862,3.741534369568083,1.0
5.0,2.85,-0.08036989884227605,-0.08036989884227377,-1.871405671831694,0.004710551316184007,0.00486677464743727,2.123891414955719,2.123891414955719,2.123891414955719,22.054731860796107,0.026676754634314424,3.626562758527096,1.0
5.0,2.84,-0.08081919073788774,-0.08081919073788908,-1.8714109523429054,0.004699543919281085,0.004853914902067827,2.121433660777894,2.121433660777894,2.121433660777894,22.049983878102513,0.026601539207367474,3.512049513126892,1.0
5.0,2.83,-0.0812726912229557,-0.08127269122294176,-1.8714162504577936,0.004688180209834185,0.0048410705153751074,2.1189717279786553,2.1189717279786553,2.1189717279786553,22.04524446461663,0.02654986170952004,3.3976940837504452,1.0
5.0,2.82,-0.0817304592673368,-0.0817304592673407,-1.8714215786785942,0.004676532002729842,0.004828008475646736,2.1165037011966095,2.1165037011966095,2.1165037011966095,22.040510033906525,0.02651199217922959,3.2831783441235727,1.0
5.0,2.81,-0.08219255875942148,-0.08219255875943096,-1.8714269470062452,0.0046648701794167495,0.004814723072085737,2.114027823286591,2.114027823286591,2.114027823286591,22.035777382071366,0.026469306705759903,3.1683675663399367,1.0
5.0,2.8,-0.0826590573464177,-0.08265905734641174,-1.8714323635431296,0.0046535075056073835,0.004801453289713339,2.111543643590186,2.111543643590186,2.111543643590186,22.031045826598557,0.02640629471859702,3.0534006757408365,1.0
5.0,2.79,-0.08313002346675645,-0.08313002346675173,-1.871437834999721,0.004642596516324008,0.004788543581777438,2.1090524492272182,2.1090524492272182,2.1090524492272182,22.026317945644728,0.02632084800737769,2.9386079800331704,1.0
5.0,2.78,-0.083605523291751,-0.08360552329174724,-1.8714433670838322,0.004632010295572185,0.004776219406967912,2.10655659368608,2.10655659368608,2.10655659368608,22.021598246301608,0.026225829346373155,2.8243007512416214,1.0
5.0,2.77,-0.08408561967451181,-0.08408561967451271,-1.871448964767002,0.0046213975192683525,0.004764419426675272,2.104058036843712,2.104058036843712,2.104058036843712,22.016890410117142,0.02614047621418824,2.7105683330187054,1.0
5.0,2.76,-0.08457037408014068,-0.08457037408013339,-1.8714546324527073,0.00461039111547356,0.004752803998310043,2.1015570127030667,2.1015570127030667,2.1015570127030667,22.01219485195374,0.026077450373537984,2.597219916005248,1.0
5.0,2.75,-0.08505985048091817,-0.08505985048092157,-1.8714603740886788,0.0045988418141859255,0.0047409455440748155,2.0990517205497126,2.0990517205497126,2.0990517205497126,22.007508229561704,0.026034416095208637,2.48390835834638,1.0
5.0,2.74,-0.08555411885939077,-0.08555411885939435,-1.8714661932578363,0.004586928592485151,0.004728587447628856,2.096539289038773,2.096539289038773,2.096539289038773,22.002825301288333,0.02599563242714499,2.3703525963067937,1.0
5.0,2.73,-0.08605325611347378,-0.0860532561134739,-1.8714720932612772,0.004575071338370537,0.004715814997968129,2.0940174890479075,2.0940174890479075,2.0940174890479075,21.998142103604042,0.02594242549407629,2.256518075172515,1.0
5.0,2.72,-0.08655734354060803,-0.08655734354061266,-1.8714780771879367,0.004563683499230905,0.004703025933838537,2.091486201872751,2.091486201872751,2.091486201872751,21.993458599825217,0.025865859794123168,2.1426415747514413,1.0
5.0,2.71,-0.08706646207744871,-0.08706646207744143,-1.8714841479642288,0.004552903868033379,0.004690696535520726,2.0889476763972783,2.0889476763972783,2.0889476763972783,21.98877906064844,0.02577310950648833,2.0290784001751674,1.0
5.0,2.7,-0.08758068819639192,-0.08758068819638867,-1.8714903083866559,0.004542483493573053,0.004679073267458009,2.086405244171768,2.086405244171768,2.086405244171768,21.984109643122398,0.02568263137579777,1.9160670584532165,1.0
5.0,2.69,-0.08810009340603993,-0.08810009340604055,-1.8714965611523544,0.004531921792513993,0.004667993291631438,2.0838612026464474,2.0838612026464474,2.0838612026464474,21.97945452953919,0.025611191783265867,1.803572624796454,1.0
5.0,2.68,-0.08862474804588427,-0.08862474804588444,-1.8715029088992,0.004520775728092937,0.004656964891174448,2.0813152542161153,2.0813152542161153,2.0813152542161153,21.974813160738545,0.02556212242492739,1.6913169513997601,1.0
5.0,2.67,-0.08915472710680751,-0.08915472710681123,-1.87150935425547,0.004508943351243411,0.004645462210980669,2.0787645500683722,2.0787645500683722,2.0787645500683722,21.970180411471215,0.02552311255520717,1.5789681191111264,1.0
5.0,2.66,-0.08969011448566484,-0.08969011448566254,-1.8715158998816823,0.004496743364295369,0.004633251808235391,2.076205338780348,2.076205338780348,2.076205338780348,21.965549627008624,0.025474794303131484,1.4663577430208008,1.0
5.0,2.65,-0.09023100298882337,-0.09023100298882361,-1.871522548484994,0.004484736652438582,0.004620553373613238,2.073635268392028,2.073635268392028,2.073635268392028,21.960916752306435,0.025404261228785658,1.3535870649371151,1.0
