T,rho,phi,Phi1,Phi2,mu,pressure,entropy,energy,converged
10.0,6.0,-0.9226530800925012,0.01057685585470848,0.011396639929679318,1.6825318214873788,18.360246619618984,0.03530349536468144,-8.263266631992636,1.0
10.0,5.99,-0.9266272112852697,0.010566268747172152,0.0113858863644584,1.6819374291700355,18.359676478294087,0.035259677546846835,-8.283084439477909,1.0
10.0,5.98,-0.9306220761538346,0.010555747116832484,0.011375059401977533,1.6813446502774767,18.35910883301007,0.03521581760221969,-8.302883208932828,1.0
10.0,5.97,-0.9346376970642162,0.010545308482977456,0.011364176999346593,1.6807535089950225,18.358543701723463,0.0351721059424661,-8.322662852760516,1.0
10.0,5.96,-0.9386740959242849,0.01053496878220851,0.011353258786836231,1.6801640472520891,18.357981119208624,0.0351287317216821,-8.34242319537845,1.0
10.0,5.95,-0.9427312938762623,0.010524741970800694,0.011342325624111109,1.6795763245273687,18.35742113675986,0.03508587835091723,-8.362163975274317,1.0
10.0,5.94,-0.9468093108585377,0.010514639666613198,0.011331399115256173,1.678990417207478,18.35686382146916,0.035043719015333596,-8.381884849197577,1.0
10.0,5.93,-0.9509081650779991,0.010504670841850992,0.011320501093890227,1.678406417494735,18.35630925508106,0.03500241235253857,-8.401585398556106,1.0
10.0,5.92,-0.9550278724056933,0.010494841577180704,0.011309653091430243,1.6778244318759026,18.355757532438144,0.03496209838155959,-8.421265137923244,1.0
10.0,5.91,-0.9591684457117697,0.010485154886371079,0.011298875802959296,1.6772445791787185,18.355208759552756,0.0349228949066213,-8.440923525492309,1.0
10.0,5.9,-0.963329894158395,0.010475610618777545,0.01128818856604905,1.6766669882586265,18.354663051341053,0.03488489439542488,-8.460559975234034,1.0
10.0,5.89,-0.9675122224739067,0.010466205444678663,0.01127760886820141,1.6760917953731702,18.354120529082376,0.03484816148840489,-8.480173870448535,1.0
10.0,5.88,-0.9717154302341942,0.010456932925783763,0.011267151898198968,1.675519141314956,18.353581317673207,0.03481273125529504,-8.499764578335554,1.0
10.0,5.87,-0.975939511176615,0.010447783670300512,0.011256830155593879,1.674949168384801,18.35304554275191,0.03477860820689345,-8.51933146516405,1.0
10.0,5.86,-0.980184452572851,0.010438745568943412,0.011246653130826642,1.6743820172945472,18.352513327783363,0.034745766147365124,-8.538873911588793,1.0
10.0,5.85,-0.9844502346877285,0.010429804105335842,0.011236627066128053,1.6738178240929842,18.35198479118897,0.03471414884562436,-8.558391327650698,1.0
10.0,5.84,-0.9887368303457834,0.01042094273160513,0.01122675480455424,1.6732567172080035,18.351460043610395,0.03468367154421201,-8.57788316700422,1.0
10.0,5.83,-0.9930442046267202,0.010412143297707585,0.011217035731378722,1.6726988146939035,18.350939185388555,0.03465422320387045,-8.597348939950534,1.0
10.0,5.82,-0.9973723147052207,0.010403386521317719,0.011207465808821033,1.672144221764768,18.35042230433096,0.03462566947082857,-8.616788224890861,1.0
10.0,5.81,-1.0017211098463163,0.01039465248399484,0.01119803770189409,1.6715930286835148,18.349909473829573,0.03459785622018066,-8.636200677887587,1.0
10.0,5.8,-1.0060905315628283,0.010385921138878951,0.011188740990185162,1.6710453090626738,18.349400751378468,0.03457061359534193,-8.655586040085277,1.0
10.0,5.79,-1.0104805139356932,0.01037717281531109,0.011179562457787525,1.6705011186177416,18.348896177524363,0.034543760415524656,-8.674944142823264,1.0
10.0,5.78,-1.0148909840921494,0.01036838870648131,0.01117048645147196,1.6699604943980502,18.348395775269424,0.03451710880562142,-8.694274910354732,1.0
10.0,5.77,-1.019321862831624,0.010359551327376811,0.011161495295600931,1.6694234545046869,18.34789954992975,0.034490468916262576,-8.713578360160184,1.0
10.0,5.76,-1.0237730653884192,0.010350644931822781,0.011152569751232936,1.668889998290484,18.347407489440638,0.034463653632220946,-8.73285460091478,1.0
10.0,5.75,-1.028244502309,0.01034165587915629,0.011143689506347214,1.6683601070237997,18.346919565089006,0.034436483133435336,-8.752103828235368,1.0
10.0,5.74,-1.0327360804255654,0.010332572942937369,0.011134833684047694,1.6678337449867864,18.346435732637048,0.034408789187002534,-8.771326318378483,1.0
10.0,5.73,-1.0372477038994379,0.010323387555974948,0.01112598135593469,1.6673108609696792,18.345955933803126,0.03438041908571805,-8.790522420110106,1.0
10.0,5.72,-1.0417792753091355,0.010314093987750727,0.01111711204844271,1.6667913901154896,18.345480098050473,0.034351239177771,-8.809692544988993,1.0
10.0,5.71,-1.0463306967520372,0.010304689452001857,0.011108206230770426,1.6662752560637821,18.34500814463417,0.03432113785190498,-8.828837156339382,1.0
10.0,5.7,-1.0509018709320328,0.01029517414375754,0.011099245773977242,1.6657623733390505,18.34453998485553,0.03429002798733584,-8.84795675719193,1.0
10.0,5.69,-1.0554927022010496,0.010285551206482097,0.0110902143718319,1.6652526499260407,18.34407552446664,0.03425784881323904,-8.867051877485196,1.0
10.0,5.68,-1.0601030975211125,0.010275826631204705,0.011081097915027592,1.6647459899730028,18.343614666171433,0.03422456711112953,-8.886123060823532,1.0
10.0,5.67,-1.0647329673202233,0.010266009090607934,0.011071884811396709,1.664242296563207,18.34315731216617,0.03419017778196898,-8.905170851083394,1.0
10.0,5.66,-1.0693822262046222,0.01025610971206302,0.011062566245763503,1.6637414744937553,18.342703366665813,0.034154703760572,-8.92419577916213,1.0
10.0,5.65,-1.0740507935056942,0.01024614179456784,0.011053136374087858,1.6632434330017938,18.342252738358923,0.03411819526712187,-8.943198350153638,1.0
10.0,5.64,-1.0787385936271647,0.010236120475486292,0.011043592447585134,1.6627480883770775,18.341805342739672,0.03408072844190386,-8.962179031236541,1.0
10.0,5.63,-1.0834455561744416,0.010226062353954023,0.011033934863624764,1.6622553664016853,18.341361104261292,0.03404240332752353,-8.981138240547219,1.0
10.0,5.62,-1.0881716158423027,0.010215985078784415,0.011024167141418486,1.6617652045580784,18.340919958264394,0.034003341336713004,-9.000076337301524,1.0
10.0,5.61,-1.0929167120492127,0.010205906909697287,0.011014295821884006,1.6612775539494176,18.34048185262519,0.0339636821187799,-9.018993613413919,1.0
10.0,5.6,-1.0976807883102995,0.01019584626165421,0.011004330292600705,1.6607923808792473,18.34004674908724,0.03392358005930385,-9.037890286841396,1.0
10.0,5.59,-1.1024637913474693,0.010185821242982104,0.010994282540500729,1.6603096680425145,18.339614624228165,0.03388320026533766,-9.056766496855975,1.0
10.0,5.58,-1.1072656699504977,0.010175849198726987,0.010984166836833469,1.6598294152873774,18.33918547003727,0.033842714394828374,-9.075622301402063,1.0
10.0,5.57,-1.1120863736026791,0.010165946271223662,0.010973999360961275,1.659351639915228,18.338759294073206,0.03380229620631562,-9.094457676666787,1.0
10.0,5.56,-1.116925850906345,0.010156126990114495,0.010963797771633595,1.6588763764987855,18.338336119189275,0.0337621170221207,-9.11327251891823,1.0
10.0,5.55,-1.121784047844698,0.01014640390389663,0.01095358073643243,1.6584036762103544,18.337915982827113,0.0337223413167894,-9.132066648615572,1.0
10.0,5.54,-1.1266609059314396,0.010136787264474416,0.010943367431975364,1.6579336056681182,18.337498935886348,0.03368312238359618,-9.150839816719166,1.0
10.0,5.53,-1.131556360306598,0.010127284775068721,0.010933177029060744,1.6574662453245634,18.337085041198815,0.033644598392749935,-9.169591713049037,1.0
10.0,5.52,-1.136470337844754,0.010117901410181342,0.010923028178109629,1.6570016874380937,18.336674371646847,0.03360688880168608,-9.18832197647332,1.0
10.0,5.51,-1.1414027553433252,0.010108639314152944,0.01091293851086804,1.6565400336853469,18.336267007981306,0.03357009138741187,-9.207030206623399,1.0
10.0,5.5,-1.1463535178657038,0.01009949778225371,0.010902924174292335,1.6560813924874436,18.335863036404998,0.033534279849706985,-9.225715976775138,1.0
10.0,5.49,-1.151322517305531,0.010090473325317385,0.010892999411772257,1.6556258761356093,18.335462546004283,0.033499502208460694,-9.244378847479236,1.0
10.0,5.48,-1.156309631238546,0.010081559815822096,0.01088317620535924,1.6551735978115736,18.335065626107777,0.03346577993370243,-9.26301838048575,1.0
10.0,5.47,-1.1613147221162765,0.01007274871021205,0.010873463990497725,1.654724668603204,18.334672363667575,0.03343310790013788,-9.281634152496983,1.0
10.0,5.46,-1.1663376368465979,0.010064029339324551,0.010863869452008623,1.654279194616828,18.33428284074635,0.03340145512627479,-9.300225768278349,1.0
10.0,5.45,-1.1713782067930272,0.010055389256211914,0.010854396406900672,1.6538372742837253,18.333897132199652,0.03337076628480262,-9.318792872695651,1.0
10.0,5.44,-1.176436248204063,0.01004681462858684,0.010845045776163397,1.653398995949311,18.333515303623685,0.03334096390432794,-9.33733516128146,1.0
10.0,5.43,-1.1815115630766366,0.01003829066168238,0.010835815644238586,1.6529644358218856,18.333137409636564,0.033311951163521765,-9.355852389009385,1.0
10.0,5.42,-1.186603940431613,0.010029802036566355,0.010826701401555101,1.6525336563410604,18.332763492539527,0.033283615192858135,-9.374344377024082,1.0
10.0,5.41,-1.191713157971889,0.010021333348906224,0.010817695962546654,1.652106705008887,18.332393581392513,0.033255830741407616,-9.392811017165984,1.0
10.0,5.4,-1.1968389840741407,0.010012869533794044,0.010808790049076826,1.6516836137070956,18.33202769151855,0.03322846404311246,-9.41125227421993,1.0
10.0,5.39,-1.2019811800586282,0.010004396263449072,0.010799972527282322,1.6512643985052347,18.331665824438932,0.03320137682041195,-9.429668185900741,1.0
10.0,5.38,-1.2071395026646246,0.009995900306285891,0.010791230784558247,1.6508490599457488,18.331307968219928,0.03317443025763916,-9.448058860673955,1.0
10.0,5.37,-1.2123137066612448,0.009987369837864817,0.01078255113276175,1.650437583776439,18.330954098200927,0.03314748874377281,-9.466424473585034,1.0
