xi,T_cep
0.0,131.0302734375
0.1,127.1044921875
0.2,122.2216796875
0.3,116.0693359375
0.4,108.3447265625
0.5,98.6962890625
0.6,86.5185546875
0.7,70.5810546875
0.8,46.78253173828125
