T,rho,phi,Phi1,Phi2,mu,pressure,entropy,energy,converged
20.0,3.0,-2.5527443353086223,0.014805767305523453,0.01812306292382316,1.6155883970152765,18.30723414937903,0.05509754494094504,-13.454884653367849,1.0
20.0,5.99,-0.9311474250652099,0.02023210768838611,0.02350677513588427,1.6800541968638738,18.36069530017556,0.07730642012353006,-8.289335417138616,1.0
20.0,5.98,-0.9351622598587892,0.020213349327484482,0.023486921480500876,1.6794641010101035,18.360130224065855,0.07722330969571946,-8.309108081096772,1.0
20.0,5.97,-0.9391978346691018,0.020194609547656044,0.023467091543681443,1.6788764168786456,18.359568397713048,0.07714031636518887,-8.32885778164702,1.0
20.0,5.96,-0.9432541545144589,0.020175888509579028,0.023447285542881665,1.6782911673090235,18.359009835197757,0.07705744088193853,-8.348584470419345,1.0
20.0,5.95,-0.9473312216650094,0.020157186371962264,0.02342750369435363,1.6777083751128075,18.35845455046405,0.076974683986812,-8.368288098590849,1.0
20.0,5.94,-0.951429035669569,0.020138503290534737,0.023407746211908387,1.6771280629927203,18.35790255724309,0.07689204640275252,-8.387968618686239,1.0
20.0,5.93,-0.9555475933223779,0.020119839417916684,0.023388013306688684,1.676550253533936,18.357353869045916,0.07680952884816765,-8.407625984616343,1.0
20.0,5.92,-0.9596868886323874,0.02010119490351164,0.023368305186950423,1.6759749691954609,18.35680849915502,0.07672713201154865,-8.427260151716084,1.0
20.0,5.91,-0.9638469127919749,0.02008256989340605,0.02334862205784225,1.6754022323011455,18.35626646061693,0.07664485656116088,-8.446871076784008,1.0
20.0,5.9,-0.9680276541479625,0.020063964530291464,0.023328964121199464,1.6748320650307829,18.355727766236047,0.07656270315970005,-8.466458718119734,1.0
20.0,5.89,-0.972229098173666,0.02004537895339734,0.023309331575344913,1.6742644894110716,18.355192428564465,0.07648067243091224,-8.486023035563893,1.0
20.0,5.88,-0.9764512274413262,0.020026813298442993,0.023289724614906263,1.6736995273064932,18.354660459896735,0.0763987649902974,-8.505563990534801,1.0
20.0,5.87,-0.9806940215974462,0.020008267697600016,0.023270143430646185,1.6731372004102498,18.354131872261533,0.0763169814320388,-8.52508154606735,1.0
20.0,5.86,-0.9849574573374358,0.019989742279468717,0.02325058820931064,1.6725775302350518,18.353606677413428,0.07623532232001876,-8.544575666850733,1.0
20.0,5.85,-0.9892415083832028,0.019971237169067655,0.02323105913349378,1.6720205381040223,18.353084886826526,0.07615378820474891,-8.564046319264698,1.0
20.0,5.84,-0.9935461454621999,0.019952752487830395,0.023211556381524234,1.671466245141687,18.352566511686945,0.07607237961406196,-8.583493471415615,1.0
20.0,5.83,-0.9978713362865564,0.01993428835360893,0.02319208012736752,1.670914672264818,18.35205156288504,0.07599109705235374,-8.602917093173433,1.0
20.0,5.82,-1.0022170455351789,0.019915844880685537,0.023172630540550097,1.6703658401735701,18.351540051009216,0.07590994100709561,-8.622317156204613,1.0
20.0,5.81,-1.006583234836353,0.01989742217978228,0.02315320778610067,1.66981976934256,18.351031986338423,0.0758289119418723,-8.64169363400713,1.0
20.0,5.8,-1.0109698627526549,0.019879020358075095,0.023133812024508007,1.669276480012109,18.35052737883617,0.07574801030851508,-8.661046501942712,1.0
20.0,5.79,-1.0153768847674844,0.019860639519202056,0.023114443411696807,1.6687359921796487,18.350026238142906,0.07566723652936182,-8.680375737268959,1.0
20.0,5.78,-1.019804253272504,0.019842279763269865,0.023095102099015295,1.6681983255911597,18.349528573571227,0.07558659102248885,-8.699681319169075,1.0
20.0,5.77,-1.0242519175572422,0.019823941186849547,0.0230757882332358,1.6676634997328013,18.349034394098112,0.07550607418035965,-8.718963228782455,1.0
20.0,5.76,-1.02871982380102,0.019805623882966854,0.02305650195656505,1.6671315338227217,18.348543708359895,0.07542568637757661,-8.738221449233075,1.0
20.0,5.75,-1.0332079150648523,0.01978732794107833,0.023037243406658244,1.6666024468029317,18.348056524647134,0.07534542798358074,-8.75745596565576,1.0
20.0,5.74,-1.0377161312872965,0.01976905344703668,0.02301801271664034,1.6660762573313992,18.3475728508972,0.07526529934104706,-8.776666765223192,1.0
20.0,5.73,-1.0422444092804533,0.01975080048304307,0.02299881001512659,1.6655529837742848,18.347092694691195,0.07518530078640409,-8.795853837170588,1.0
20.0,5.72,-1.0467926827282816,0.01973256912758132,0.0229796354262396,1.665032644198268,18.346616063247197,0.07510543264054317,-8.815017172819596,1.0
20.0,5.71,-1.0513608821867968,0.019714359455342518,0.02296048906962205,1.6645152563630476,18.346142963416003,0.0750256952087392,-8.834156765601763,1.0
20.0,5.7,-1.055948935085529,0.019696171537128923,0.02294137106044286,1.6640008377139688,18.345673401676027,0.074946088782879,-8.853272611079579,1.0
20.0,5.69,-1.0605567657321022,0.019678005439747976,0.022922281509392173,1.663489405374819,18.34520738412932,0.07486661364338103,-8.872364706967735,1.0
20.0,5.68,-1.065184295317157,0.019659861225891122,0.02290322052266335,1.6629809761406547,18.344744916496396,0.07478727005282122,-8.891433053153627,1.0
20.0,5.67,-1.0698314419214912,0.019641738953998587,0.022884188201921497,1.662475566470737,18.34428600411245,0.0747080582639456,-8.910477651716382,1.0
20.0,5.66,-1.0744981205260085,0.019623638678116954,0.02286518464425881,1.6619731924817336,18.343830651922932,0.0746289785094112,-8.929498506943819,1.0
20.0,5.65,-1.0791842430221656,0.019605560447743402,0.022846209942128506,1.6614738699407192,18.343378864479845,0.07455003101151408,-8.948495625352205,1.0
20.0,5.64,-1.083889718224862,0.01958750430766775,0.022827264183266537,1.6609776142585098,18.34293064593763,0.07447121597023376,-8.967469015702019,1.0
20.0,5.63,-1.0886144518884795,0.019569470297808565,0.022808347450597132,1.6604844404830579,18.342486000050066,0.07439253357484332,-8.986418689013767,1.0
20.0,5.62,-1.0933583467214394,0.019551458453045383,0.022789459822117313,1.6599943632926633,18.34204493016476,0.07431398398514094,-9.005344658583855,1.0
20.0,5.61,-1.098121302405931,0.019533468803055214,0.022770601370772133,1.6595073969895553,18.341607439222297,0.074235567350227,-9.02424694000002,1.0
20.0,5.6,-1.1029032156187002,0.019515501372151585,0.02275177216431461,1.6590235554934845,18.341173529751035,0.07415728379567818,-9.043125551153826,1.0
20.0,5.59,-1.1077039800521737,0.019497556179129634,0.022732972265152133,1.6585428523352315,18.340743203864417,0.07407913342101108,-9.06198051225565,1.0
20.0,5.58,-1.1125234864399,0.019479633237119834,0.02271420173018818,1.658065300650427,18.340316463257896,0.07400111630777438,-9.080811845846183,1.0
20.0,5.57,-1.1173616225810643,0.019461732553452862,0.022695460610653122,1.657590913173241,18.339893309205483,0.07392323250231661,-9.099619576809479,1.0
20.0,5.56,-1.1222182733697954,0.019443854129537218,0.02267674895193424,1.6571197022303734,18.33947374255767,0.07384548203635201,-9.118403732382678,1.0
20.0,5.55,-1.1270933208241385,0.01942599796075391,0.02265806679340431,1.6566516797350601,18.33905776373789,0.07376786490486195,-9.137164342167269,1.0
20.0,5.54,-1.1319866441178297,0.01940816403636296,0.022639414168252475,1.6561868571812057,18.338645372740697,0.07369038107892356,-9.155901438137713,1.0
20.0,5.53,-1.136898119613911,0.01939035233942867,0.02262079110331883,1.6557252456376825,18.338236569128973,0.07361303050005959,-9.174615054650689,1.0
20.0,5.52,-1.1418276208995501,0.01937256284676635,0.022602197618941135,1.65526685574284,18.33783135203159,0.0735358130737003,-9.193305228450914,1.0
20.0,5.51,-1.1467750188241328,0.019354795528900536,0.02258363372880899,1.6548116976991962,18.337429720142243,0.07345872868361701,-9.211971998677496,1.0
20.0,5.5,-1.1517401815373745,0.019337050350045848,0.022565099439832495,1.65435978126828,18.337031671717135,0.07338177717525482,-9.230615406869482,1.0
20.0,5.49,-1.1567229745301,0.01931932726809966,0.022546594752025972,1.6539111157657167,18.336637204573183,0.07330495836600402,-9.249235496967932,1.0
20.0,5.48,-1.1617232606772177,0.01930162623465711,0.022528119658411155,1.653465710056707,18.336246316087664,0.07322827203525561,-9.267832315318877,1.0
20.0,5.47,-1.1667409002814022,0.01928394719503275,0.02250967414493563,1.6530235725515456,18.335859003196955,0.07315171794162398,-9.286405910672865,1.0
20.0,5.46,-1.1717757511189162,0.019266290088301514,0.02249125819041331,1.652584711201606,18.335475262395214,0.07307529580483348,-9.304956334183919,1.0
20.0,5.45,-1.176827668487516,0.019248654847346912,0.022472871766484045,1.652149133495616,18.335095089735024,0.07299900530996829,-9.323483639407565,1.0
20.0,5.44,-1.1818965052551496,0.019231041398917677,0.022454514837592456,1.6517168464561638,18.334718480827238,0.07292284612658172,-9.341987882294898,1.0
20.0,5.43,-1.1869821119107007,0.019213449663692348,0.022436187360986598,1.6512878566366171,18.334345430839818,0.07284681787260547,-9.360469121187531,1.0
20.0,5.42,-1.1920843366156817,0.019195879556347002,0.022417889286735247,1.650862170118361,18.33397593450134,0.07277092015917198,-9.378927416809086,1.0
20.0,5.41,-1.1972030252581454,0.019178330985625346,0.02239962055776122,1.6504397925083938,18.33360998609848,0.07269515255428943,-9.397362832255151,1.0
20.0,5.4,-1.202338021507273,0.019160803854407393,0.022381381109891296,1.6500207289372746,18.33324757948011,0.07261951460264726,-9.415775432983013,1.0
20.0,5.39,-1.2074891668694872,0.019143298059777453,0.02236317087191698,1.6496049840574192,18.332888708056924,0.0725440058241039,-9.434165286796503,1.0
20.0,5.38,-1.212656300745289,0.019125813493085654,0.02234498976566777,1.6491925620416867,18.332533364804895,0.07246862570827985,-9.452532463834283,1.0
20.0,5.37,-1.2178392604886208,0.01910835004000719,0.022326837706095025,1.64878346658252,18.33218154226618,0.07239337372651541,-9.470877036549531,1.0
20.0,5.36,-1.223037881465316,0.01909090758059044,0.022308714601356593,1.6483777008911227,18.33183323255251,0.07231824932402069,-9.489199079694885,1.0
20.0,5.35,-1.2282519971139159,0.019073485989300348,0.022290620352910257,1.647975267697204,18.331488427347477,0.07224325191856215,-9.507498670301992,1.0
20.0,5.34,-1.233481439007254,0.01905608513505321,0.022272554855606006,1.6475761692489619,18.331147117909964,0.07216838090998011,-9.525775887660068,1.0
20.0,5.33,-1.2387260369142623,0.019038704881239772,0.022254517997777112,1.6471804073133214,18.330809295076378,0.07209363566657348,-9.544030813294352,1.0
20.0,5.32,-1.2439856188628595,0.019021345085743473,0.022236509661329756,1.6467879831765397,18.330474949266883,0.07201901555352172,-9.562263530941653,1.0
20.0,5.31,-1.2492600112042793,0.01900400560094902,0.022218529721827623,1.6463988976450992,18.330144070485755,0.07194451989895251,-9.580474126525996,1.0
20.0,5.3,-1.2545490386765266,0.018986686273742084,0.022200578048567718,1.6460131510467384,18.329816648327835,0.07187014801421297,-9.598662688133137,1.0
20.0,5.29,-1.259852524469116,0.018969386945504395,0.022182654504652816,1.645630743231803,18.329492671981995,0.07179589919097885,-9.616829305983533,1.0
20.0,5.28,-1.2651702902890556,0.01895210745210376,0.022164758947054636,1.6452516735749543,18.32917213023504,0.0717217727000149,-9.63497407240293,1.0
20.0,5.27,-1.2705021564260672,0.018934847623877957,0.02214689122666635,1.644875940976843,18.32885501147737,0.07164776778945514,-9.653097081796481,1.0
20.0,5.26,-1.275847941818817,0.01891760728561855,0.022129051188350287,1.6445035438662394,18.328541303706782,0.07157388369064431,-9.671198430616245,1.0
20.0,5.25,-1.2812074641214215,0.01890038625655379,0.022111238670976273,1.6441344802022062,18.32823099453383,0.07150011961102079,-9.689278217332529,1.0
20.0,5.24,-1.2865805397695702,0.018883184350328618,0.022093453507450123,1.64376874747647,18.32792407118636,0.07142647473368094,-9.707336542402901,1.0
20.0,5.23,-1.2919669840485564,0.0188660013749928,0.022075695524740535,1.6434063427161556,18.32762052051554,0.07135294822549715,-9.72537350823932,1.0
20.0,5.22,-1.297366611159201,0.018848837132986893,0.022057964543896726,1.6430472624864518,18.32732032900041,0.07127953922949219,-9.743389219176086,1.0
20.0,5.21,-1.3027792342854436,0.01883169142113641,0.02204026038006258,1.6426915028935922,18.327023482753827,0.07120624686761497,-9.761383781437637,1.0
20.0,5.2,-1.3082046656618607,0.018814564030650387,0.02202258284248931,1.642339059588052,18.32672996752709,0.07113307023538715,-9.779357303103557,1.0
20.0,5.19,-1.3136427166407227,0.01879745474712718,0.022004931734546387,1.6419899277678291,18.326439768716767,0.07106000840822983,-9.79730989407519,1.0
20.0,5.18,-1.3190931977593565,0.018780363350568104,0.021987306853732493,1.6416441021819728,18.32615287137036,0.07098706044133714,-9.815241666040182,1.0
20.0,5.17,-1.3245559188071823,0.018763289615396143,0.02196970799168673,1.6413015771342094,18.325869260191183,0.07091422536244327,-9.833152732437345,1.0
20.0,5.16,-1.3300306888931344,0.01874623331048652,0.021952134934204795,1.6409623464868843,18.325588919545343,0.0708415021795931,-9.851043208419505,1.0
20.0,5.15,-1.3355173165122844,0.01872919419920184,0.0219345874612564,1.640626403664923,18.32531183346784,0.0707688898719156,-9.868913210819056,1.0
20.0,5.14,-1.3410156096132404,0.01871217203943694,0.021917065347010076,1.6402937416601762,18.325037985668637,0.0706963874029893,-9.886762858107518,1.0
20.0,5.13,-1.3465253756638045,0.018695166583669817,0.021899568359861215,1.6399643530357433,18.324767359538882,0.07062399370922347,-9.904592270359467,1.0
20.0,5.12,-1.352046421717787,0.018678177579018577,0.02188209626246511,1.6396382299306047,18.324499938157707,0.07055170769832711,-9.922401569214847,1.0
20.0,5.11,-1.3575785544811094,0.01866120476730743,0.0218646488117797,1.6393153640645004,18.324235704299227,0.07047952826809607,-9.940190877837036,1.0
20.0,5.1,-1.363121580376136,0.018644247885133726,0.02184722575911092,1.6389957467427476,18.323974640438227,0.07040745427992386,-9.957960320876435,1.0
20.0,5.09,-1.3686753056078662,0.018627306663943802,0.021829826850165445,1.638679368861562,18.323716728758168,0.07033548458213285,-9.975710024427642,1.0
20.0,5.08,-1.37423953622752,0.01861038083010959,0.021812451825107895,1.6383662209132557,18.323461951157455,0.07026361799607234,-9.993440115990841,1.0
20.0,5.07,-1.3798140781968637,0.018593470105010813,0.02179510041862732,1.6380562929918525,18.323210289256625,0.07019185332242184,-10.011150724429488,1.0
