T,mu,omega,n,susceptibility,converged,phi,Phi1,Phi2
98.99999999999999,200.00000000000003,3.9466000000000006,1.0,-0.0968679403746712,1.0,-3.920679287918184,0.0025878583928841156,0.008995375516055944
99.99999999999999,200.00000000000003,3.9466000000000006,1.0,-0.09398560831905355,1.0,-3.9205763423456337,0.0027395890669518084,0.009385462816022637
100.99999999999999,200.00000000000003,3.9466000000000006,1.0,-0.09121604495388383,1.0,-3.920465234912201,0.0028975307950483086,0.009786057767703991
101.99999999999999,200.00000000000003,3.9466000000000006,1.0,-0.08855377014649662,1.0,-3.920345479238118,0.0030618214260348933,0.010197260416900828
102.99999999999999,200.00000000000003,3.9466000000000006,1.0,-0.0859936199310984,1.0,-3.9202165700154876,0.0032325991797334547,0.010619170658987518
103.99999999999999,200.00000000000003,3.9466000000000006,1.0,-0.08353072543590093,1.0,-3.9200779826828094,0.003410002693272715,0.011051888412859893
104.99999999999999,200.00000000000003,3.9466000000000006,1.0,-0.0811604933999573,1.0,-3.919929173097216,0.0035941710734413287,0.011495513797578957
105.99999999999999,200.00000000000003,3.9466000000000006,1.0,-0.07887858814648563,1.0,-3.919769577203656,0.0037852439550043965,0.01195014731161941
107.0,200.00000000000003,3.9466000000000006,1.0,-0.07668091489054249,1.0,-3.919598610698998,0.003983361564947166,0.012415890014660267
108.0,200.00000000000003,3.9466000000000006,1.0,-0.07456360427179895,1.0,-3.9194156686906476,0.004188664792612307,0.012892843711866681
109.0,200.00000000000003,3.9466000000000006,1.0,-0.07252299801100355,1.0,-3.9192201253482906,0.004401295265706456,0.01338111114063913
110.0,200.00000000000003,3.9466000000000006,1.0,-0.0705556356008463,1.0,-3.919011333547512,0.004621395432159047,0.013880796159821001
111.0,200.00000000000003,3.9466000000000006,1.0,-0.06865824194574291,1.0,-3.918788624504024,0.004849108647823695,0.01439200394138127
112.0,200.00000000000003,3.9466000000000006,1.0,-0.06682771587744792,1.0,-3.9185513073966503,0.0050845792700267255,0.01491484116460741
113.0,200.00000000000003,3.9466000000000006,1.0,-0.06506111945698656,1.0,-3.9182986473195203,0.005327955165202645,0.015449416368663463
114.0,200.00000000000003,3.9466000000000006,1.0,-0.06335566810956111,1.0,-3.9180299487970585,0.005579378357152602,0.01599583953648146
115.0,200.00000000000003,3.9466000000000006,1.0,-0.061708721267504416,1.0,-3.9177444332761415,0.005838999070519899,0.01655422320825183
116.0,200.00000000000003,3.9466000000000006,1.0,-0.060117773819293,1.0,-3.9174413177298404,0.006106966722045725,0.017124682086749228
117.0,200.00000000000003,3.9466000000000006,1.0,-0.05858044805707224,1.0,-3.9171197949970797,0.0063834322861707204,0.017707333393160125
118.0,200.00000000000003,3.9466000000000006,1.0,-0.057094486180940617,1.0,-3.916779033308354,0.006668548424307215,0.018302297078128107
119.0,200.00000000000003,3.9466000000000006,1.0,-0.055657743302765954,1.0,-3.916418175792744,0.006962469620285473,0.01890969603606169
120.0,200.00000000000003,3.9466000000000006,1.0,-0.05426818091199039,1.0,-3.9160363399588687,0.007265352322094582,0.01952965632293427
121.0,200.00000000000003,3.9466000000000006,1.0,-0.052923860769859075,1.0,-3.9156326171510805,0.0075773550900298334,0.020162307377765608
122.0,200.00000000000003,3.9466000000000006,1.0,-0.0516229392003526,1.0,-3.915206071978745,0.007898638751384615,0.020807782248001422
123.0,200.00000000000003,3.9466000000000006,1.0,-0.05036366174948272,1.0,-3.914755741716316,0.008229366561843662,0.021466217819051718
124.0,200.00000000000003,3.9466000000000006,1.0,-0.04914435818549085,1.0,-3.914280635670188,0.008569704373758444,0.022137755048262014
125.0,200.00000000000003,3.9466000000000006,1.0,-0.04796343781708779,1.0,-3.9137797345138874,0.008919820811487728,0.022822539203575454
126.0,200.00000000000003,3.9466000000000006,1.0,-0.04681938510567195,1.0,-3.913251989586157,0.009279887454027488,0.023520720107220106
127.0,200.00000000000003,3.9466000000000006,1.0,-0.04571075555195687,1.0,-3.912696322150562,0.009650079025164205,0.024232452384739433
128.0,200.00000000000003,3.9466000000000006,1.0,-0.04463617183733027,1.0,-3.9121116226149737,0.0100305735914073,0.024957895719709806
129.0,200.00000000000003,3.9466000000000006,1.0,-0.04359432020228178,1.0,-3.911496749706641,0.010421552767990703,0.025697215114529708
130.0,200.00000000000003,3.9466000000000006,1.0,-0.04258394704627575,1.0,-3.910850529601337,0.010823201933245959,0.02645058115766718
131.0,200.00000000000003,3.9466000000000006,1.0,-0.04160385573274351,1.0,-3.910171755003694,0.011235710451681407,0.02721817029778092
132.0,200.00000000000003,3.9466000000000006,1.0,-0.040652903586854486,1.0,-3.909459184175715,0.011659271906127878,0.028000165125157357
133.0,200.00000000000003,3.9466000000000006,1.0,-0.039729999071616895,1.0,-3.9087115399081145,0.01209408433935307,0.02879675466095466
134.0,200.00000000000003,3.9466000000000006,1.0,-0.03883409913143828,1.0,-3.907927508435274,0.012540350505544865,0.029608134654704864
135.0,200.00000000000003,3.9466000000000006,1.0,-0.03796420669194915,1.0,-3.907105738287568,0.012998278132128682,0.03043450789061829
136.0,200.00000000000003,3.9466000000000006,1.0,-0.03711936830505107,1.0,-3.9062448390765385,0.013468080192411039,0.031276084503256786
137.0,200.00000000000003,3.9466000000000006,1.0,-0.03629867193080427,1.0,-3.9053433802120607,0.013949975189555357,0.03213308230310872
138.0,200.00000000000003,3.9466000000000006,1.0,-0.03550124484648092,1.0,-3.9043998895437193,0.014444187452467299,0.03300572711272635
139.0,200.00000000000003,3.9466000000000006,1.0,-0.034726251675023766,1.0,-3.9034128519263307,0.01495094744416717,0.0338942531140066
140.0,200.00000000000003,3.9466000000000006,1.0,-0.033972892525001484,1.0,-3.902380707700473,0.015470492083313322,0.034798903207349415
141.0,200.00000000000003,3.9466000000000006,1.0,-0.03324040123524569,1.0,-3.901301851086308,0.0160030650795469,0.03571992938335849
142.0,200.00000000000003,3.9466000000000006,1.0,-0.032528043717490594,1.0,-3.9001746284842542,0.016548917283392788,0.03665759310784718
143.0,200.00000000000003,3.9466000000000006,1.0,-0.031835116390853666,1.0,-3.8989973366768598,0.01710830705150297,0.03761216572093392
144.0,200.00000000000003,3.9466000000000006,1.0,-0.031160944702198035,1.0,-3.897768220926479,0.017681500628071813,0.038583928851042934
145.0,200.00000000000003,3.9466000000000006,1.0,-0.030504881727874147,1.0,-3.896485472962342,0.01826877254331566,0.03957317484468242
146.0,200.00000000000003,3.9466000000000006,1.0,-0.029866306850549685,1.0,-3.895147228850437,0.018870406029961907,0.0405802072128966
147.0,200.00000000000003,3.9466000000000006,1.0,-0.029244624508152173,1.0,-3.893751566738342,0.019486693458770413,0.04160534109537248
148.0,200.00000000000003,3.9466000000000006,1.0,-0.02863926300901431,1.0,-3.89229650446938,0.020117936794147754,0.04264890374316585
149.0,200.00000000000003,3.9466000000000006,1.0,-0.028049673410268688,1.0,-3.8907799970548833,0.020764448071027168,0.04371123502114441
150.0,200.00000000000003,3.9466000000000006,1.0,-0.027475328455351895,1.0,-3.8891999339996697,0.021426549894213113,0.04479268793121068
151.0,200.00000000000003,3.9466000000000006,1.0,-0.026915721567049043,1.0,-3.8875541364685673,0.022104575961513696,0.045893629157493745
152.0,200.00000000000003,3.9466000000000006,1.0,-0.026370365892934542,1.0,-3.885840354285525,0.022798871612043213,0.04701443963471783
153.0,200.00000000000003,3.9466000000000006,1.0,-0.025838793400058353,1.0,-3.884056262754679,0.02350979440117003,0.048155515141022565
154.0,200.00000000000003,3.9466000000000006,1.0,-0.025320554015950274,1.0,-3.8821994592915434,0.02423771470369367,0.04931726691657581
155.0,200.00000000000003,3.9466000000000006,1.0,-0.024815214813497122,1.0,-3.8802674598536626,0.024983016346910827,0.05050012230937358
156.0,200.00000000000003,3.9466000000000006,1.0,-0.024322359236688764,1.0,-3.878257695155138,0.025746097275380592,0.05170452544972414
157.0,200.00000000000003,3.9466000000000006,1.0,-0.023841586365555015,1.0,-3.8761675066550327,0.026527370249251083,0.05293093795489628
158.0,200.00000000000003,3.9466000000000006,1.0,-0.02337251021730686,1.0,-3.873994142300683,0.027327263578205495,0.05417983966560863
159.0,200.00000000000003,3.9466000000000006,1.0,-0.022914759082203483,1.0,-3.8717347520133942,0.028146221893143128,0.05545172941597691
160.0,200.00000000000003,3.9466000000000006,1.0,-0.02246797489191839,1.0,-3.8693863828974617,0.028984706957899075,0.056747125838703526
161.0,200.00000000000003,3.9466000000000006,1.0,-0.02203181261862988,1.0,-3.8669459741545986,0.029843198523426737,0.05806656820733438
162.0,200.00000000000003,3.9466000000000006,1.0,-0.021605939703154806,1.0,-3.8644103516847843,0.03072219522701664,0.05941061731745714
163.0,200.00000000000003,3.9466000000000006,1.0,-0.02119003551024919,1.0,-3.861776222351356,0.0316222155393058,0.06077985640884206
164.0,200.00000000000003,3.9466000000000006,1.0,-0.020783790810154447,1.0,-3.8590401678887396,0.03254379876197486,0.06217489213054628
165.0,200.00000000000003,3.9466000000000006,1.0,-0.02038690728412516,1.0,-3.856198638426801,0.033487506079239684,0.06359635555112624
166.0,200.00000000000003,3.9466000000000006,1.0,-0.019999097053407237,1.0,-3.853247945607045,0.03445392166640397,0.06504490321611013
167.0,200.00000000000003,3.9466000000000006,1.0,-0.01962008222981487,1.0,-3.8501842552622523,0.03544365385894119,0.06652121825499246
168.0,200.00000000000003,3.9466000000000006,1.0,-0.01924959448697163,1.0,-3.847003579627908,0.03645733638580673,0.06802601154005328
169.0,200.00000000000003,3.9466000000000006,1.0,-0.018887374651035627,1.0,-3.8437017690539212,0.03749562967085572,0.06956002289935584
170.0,200.00000000000003,3.9466000000000006,1.0,-0.01853317230994587,1.0,-3.840274503181394,0.038559222206481746,0.07112402238628461
171.0,200.00000000000003,3.9466000000000006,1.0,-0.01818674543990677,1.0,-3.8367172815462136,0.03964883200382835,0.07271881160805391
172.0,200.00000000000003,3.9466000000000006,1.0,-0.01784786004854035,1.0,-3.833025413567822,0.04076520812416188,0.07434522511561867
173.0,200.00000000000003,3.9466000000000006,1.0,-0.017516289833441775,1.0,-3.8291940078819877,0.04190913229618682,0.07600413185731739
174.0,200.00000000000003,3.9466000000000006,1.0,-0.017191815855780303,1.0,-3.8252179609678616,0.043081420624401824,0.07769643669866619
175.0,200.00000000000003,3.9466000000000006,1.0,-0.016874226227427336,1.0,-3.821091945019088,0.044282925393784804,0.0794230820105584
176.0,200.00000000000003,3.9466000000000006,1.0,-0.016563315811703803,1.0,-3.8168103950053993,0.04551453697633642,0.08118504932801268
177.0,200.00000000000003,3.9466000000000006,1.0,-0.016258885936369052,1.0,-3.8123674948657884,0.046777185845256364,0.08298336108147225
178.0,200.00000000000003,3.9466000000000006,1.0,-0.015960744118482702,1.0,-3.8077571627691076,0.0480718447027481,0.08481908240244536
179.0,200.00000000000003,3.9466000000000006,1.0,-0.015668703800545327,1.0,-3.8029730353761377,0.049399530727619954,0.08669332300494728
180.0,200.00000000000003,3.9466000000000006,1.0,-0.015382584097158414,1.0,-3.798008451029167,0.050761307949046756,0.088607239143863
181.0,200.00000000000003,3.9466000000000006,1.0,-0.015102209551762944,1.0,-3.79285643179183,0.052158289752971966,0.09056203565088436
182.0,200.00000000000003,3.9466000000000006,1.0,-0.014827409902867569,1.0,-3.787509664255479,0.05359164152773207,0.09255896804806689
183.0,200.00000000000003,3.9466000000000006,1.0,-0.014558019859365001,1.0,-3.7819604790240957,0.05506258345545529,0.09459934473832148
184.0,200.00000000000003,3.9466000000000006,1.0,-0.014293878884333025,1.0,-3.7762008287802704,0.05657239345580758,0.0966845292713477
184.99999999999997,200.00000000000003,3.9466000000000006,1.0,-0.01403483098705124,1.0,-3.77022226483226,0.058122410288406645,0.0988159426823468
185.99999999999997,200.00000000000003,3.9466000000000006,1.0,-0.013780724522649262,1.0,-3.7640159120341043,0.0597140368199587,0.10099506589960622
187.0,200.00000000000003,3.9466000000000006,1.0,-0.013531411999296668,1.0,-3.7575724419623526,0.06134874346175482,0.10322344221553378
188.0,200.00000000000003,3.9466000000000006,1.0,-0.013286749892255706,1.0,-3.750882044230165,0.06302807178242063,0.10550267981373897
189.0,200.00000000000003,3.9466000000000006,1.0,-0.013046598464819103,1.0,-3.743934395807892,0.06475363830001515,0.10783445434273078
190.0,200.00000000000003,3.9466000000000006,1.0,-0.012810821595655178,1.0,-3.736718628218778,0.0665271384562705,0.11022051152394127
191.0,200.00000000000003,3.9466000000000006,1.0,-0.012579286612486714,1.0,-3.7292232924648197,0.06835035077434638,0.11266266977893845
192.0,200.00000000000003,3.9466000000000006,1.0,-0.012351864131793828,1.0,-3.721436321541031,0.07022514119930924,0.1151628228567523
193.0,200.00000000000003,3.9466000000000006,1.0,-0.012128427904530975,1.0,-3.7133449903824602,0.07215346761824522,0.11772294243820815
194.0,200.00000000000003,3.9466000000000006,1.0,-0.011908854667639033,1.0,-3.7049358730940587,0.07413738455357603,0.12034508068885445
195.0,200.00000000000003,3.9466000000000006,1.0,-0.011693024001548607,1.0,-3.6961947973029843,0.0761790480194549,0.12303137272639986
196.0,200.00000000000003,3.9466000000000006,1.0,-0.011480818193343836,1.0,-3.6871067954818217,0.07828072052620062,0.12578403896153992
197.0,200.00000000000003,3.9466000000000006,1.0,-0.011272122106137704,1.0,-3.6776560530874502,0.0804447762120367,0.1286053872632136
197.99999999999997,200.00000000000003,3.9466000000000006,1.0,-0.011066823054457477,1.0,-3.6678258533721078,0.08267370607429197,0.13149781489004447
199.00000000000003,200.00000000000003,3.9466000000000006,1.0,-0.01086481068612141,1.0,-3.657598518734623,0.08497012326370156,0.13446381011911032
199.99999999999997,200.00000000000003,3.9466000000000006,1.0,-0.010665976870978859,1.0,-3.6469553484951236,0.08733676839531841,0.1375059534910476
