B_A,iteration,rho0,m_ratio,objective_value,K,E_sym
-16.5625,1,0.1496875,0.6375000000000001,-3000.0,389.1875,36.16875
-15.8625,2,0.1621875,0.7375,-1204.1631562821588,294.6875,27.21875
-16.9125,3,0.16843750000000002,0.5875,-2432.3018681309077,341.9375,31.69375
-16.2125,4,0.1559375,0.6875,-2294.900825151891,247.4375,40.64375
-16.7375,5,0.1528125,0.6625,-2356.292052142625,271.0625,42.88125
-16.0375,6,0.1653125,0.5625,-3000.0,365.5625,33.93125
-16.3875,7,0.1590625,0.7125,-1293.9966532824528,223.8125,29.45625
-15.6875,8,0.14656249999999998,0.6125,-3000.0,318.3125,38.40625
-16.34375,9,0.14734375,0.68125,-1458.4767179036644,300.59375,31.134375000000002
-15.643749999999999,10,0.15984375,0.58125,-3000.0,395.09375,40.084375
-16.3,11,0.1575,0.65,-2362.434985273133,306.5,35.05
-16.3,12,0.1575,0.65,-2362.434985273133,306.5,35.05
-16.3,13,0.1575,0.65,-2362.434985273133,306.5,35.05
-16.3,14,0.1575,0.65,-2362.434985273133,306.5,35.05
-16.3,15,0.1575,0.65,-2362.434985273133,306.5,35.05
-16.3,16,0.1575,0.65,-2362.434985273133,306.5,35.05
-16.3,17,0.1575,0.65,-2362.434985273133,306.5,35.05
-16.3,18,0.1575,0.65,-2362.434985273133,306.5,35.05
-16.3,19,0.1575,0.65,-2362.434985273133,306.5,35.05
-16.3,20,0.1575,0.65,-2362.434985273133,306.5,35.05
