iteration,rho0,B_A,K,m_ratio,E_sym,objective_value,is_best
21,0.17,-17.0,401.0,0.7464945759647326,27.788648711612247,324.0581538158483,False
22,0.17,-17.0,390.2151740279105,0.730881178378252,26.1,518.628263629634,False
23,0.17,-17.0,363.46231899779355,0.739076264111571,32.33765440564298,774.6213816425075,False
24,0.17,-17.0,365.09085378892087,0.75,26.1,411.8279896727766,False
25,0.17,-17.0,401.0,0.7123530907912237,36.22449965987959,1000301.1052054376,False
26,0.17,-17.0,358.8336553748794,0.75,27.942235158512556,491.3973670638692,False
27,0.17,-17.0,324.42647453155337,0.75,38.55971230582372,1000209.1006081722,False
28,0.17,-17.0,401.0,0.733131262805283,30.996094567203006,615.2277467640872,False
29,0.17,-17.0,351.12960454751806,0.7309048181134944,30.825132318948263,921.8574479896629,False
30,0.145,-16.884291442946655,212.0,0.75,44.0,1000349.5936812649,False
31,0.17,-17.0,354.4268744887006,0.7376586225440014,26.9187752585212,641.8953733298902,False
32,0.17,-16.61385520619522,401.0,0.75,26.1,270.2564155789137,True
33,0.17,-17.0,370.8130944063031,0.7259766723079628,31.890822560446786,947.8287964400638,False
34,0.17,-16.69089233363602,401.0,0.75,31.327625120643184,392.36784230067354,False
35,0.16930188781626326,-15.6,379.50662070535185,0.75,26.30418783408008,429.4773004053384,False
36,0.17,-17.0,212.0,0.6727571721067344,37.61983834921744,1000409.6590568251,False
37,0.16955532496194034,-16.398053177987297,371.2630659112622,0.75,30.478783271822866,546.1885952107748,False
38,0.145,-15.6,335.352095212835,0.7190166716440674,32.012606627684704,1000400.7837476169,False
39,0.17,-15.6,299.27973229463714,0.6734286926699243,26.1,1000431.7731223716,False
40,0.145,-15.6,401.0,0.75,26.1,393.00058230884986,False
41,0.17,-16.250817814347513,401.0,0.75,28.283828328681714,337.45762918881945,False
42,0.17,-16.854783792604874,385.9990455947261,0.75,30.109546309165687,419.79907040560727,False
43,0.17,-16.130867644887616,375.285356615947,0.75,26.1,409.0470532213417,False
44,0.17,-16.496674955314976,400.99686291247747,0.75,29.953336896673104,367.58195804396183,False
45,0.17,-17.0,359.4482137041896,0.7281700190126951,31.599777792088776,951.8847515234119,False
46,0.15531039990125878,-15.6,401.0,0.75,26.1,357.680494323901,False
47,0.17,-17.0,381.09657308003636,0.7205081200330381,30.212088217094397,906.6624421045324,False
48,0.17,-17.0,374.39775098505754,0.75,31.775157608604964,520.9572668077901,False
49,0.17,-15.78416510182191,401.0,0.7325469188944408,26.1,562.9087282395479,False
50,0.14822215562971747,-15.6,401.0,0.75,29.21400514424529,521.0249069241004,False
51,0.17,-16.363480537653626,401.0,0.7386997384853906,26.1,414.3754949695287,False
52,0.15934436132768937,-15.6,401.0,0.75,30.39428319832311,510.1308791238288,False
53,0.15293268247293632,-15.6,401.0,0.75,27.96684590682047,432.016570207335,False
54,0.17,-15.6,354.9723988511454,0.7186262943598606,28.595256593350353,1322.3202583154123,False
55,0.17,-15.6,383.2071496602663,0.7332774968535842,29.875043719655352,891.8510575490301,False
56,0.17,-17.0,212.0,0.6502975694492645,26.1,1000324.0932049472,False
