# ForwardDiff Temperature Scan Results
# Generated on: 2025-09-17T22:33:46.036
# Model Parameters:
# gsigma = 1.25
# gdelta = 0.01
# fs = 15.0
# fo = 5.423
# fr = 0.95
# fd = 0.0
# b = 0.00692
# c = -0.0048
# mu_B = 697.0 MeV
# T_range = 20.0 - 200.00000000000003 MeV
# T_step = 1.0 MeV
# nodes = 256
#
T_MeV,P_T4,kappa1,kappa2,kappa3,kappa4,kappa3_over_kappa1,kappa4_over_kappa2,mu_over_T
20.0,0.0003944493148287745,0.000394455532630206,0.0003944679685782375,NaN,NaN,NaN,NaN,34.85
21.0,0.0006535784467543757,0.0006535971963049981,0.0006536346972868902,NaN,NaN,NaN,NaN,33.19047619047619
22.0,0.0010311856651534794,0.0010312366912611861,0.001031338752240284,NaN,NaN,NaN,NaN,31.681818181818183
23.0,0.0015593578348881895,0.001559484862578263,0.0015597389536072812,NaN,NaN,NaN,NaN,30.30434782608696
24.0,0.002272397149696479,0.002272689691482319,0.0022732749038142344,NaN,NaN,NaN,NaN,29.041666666666668
24.999999999999996,0.003205758158732538,0.0032063873151194316,0.003207646046793168,NaN,NaN,NaN,NaN,27.880000000000003
25.999999999999996,0.0043949764678201525,0.004396250197865196,0.004398798900445358,NaN,NaN,NaN,NaN,26.80769230769231
27.0,0.005874661892563017,0.00587710587202086,0.005881997225732749,0.005891790126401263,0.005911406542311303,1.0024985519574032,1.0049998861695977,25.814814814814813
28.0,0.007677609566746032,0.007682080011659091,0.0076910295217040205,0.007708954433548063,0.007744882056330132,1.0034983262147992,1.0070019929677998,24.892857142857142
29.0,0.00983406298560657,0.009841897640576025,0.00985758744909663,0.009889028661817175,0.00995209627391456,1.0047888144098185,1.0095874193666514,24.03448275862069
30.0,0.012371145439948217,0.012384358313268642,0.012410830012162496,0.0124639115632281,0.012570490313147626,1.006423687683053,1.0128645949407626,23.233333333333334
31.0,0.015312461956711316,0.015333986383842006,0.015377132910975155,0.015463719802511043,0.01563777838110854,1.0084605147951444,1.016950199471018,22.483870967741936
32.0,0.018677863090037182,0.0187118464177667,0.018780010915677523,0.018916935556212666,0.01919258027325053,1.0109603902184252,1.021968536622553,21.78125
33.0,0.022483354563982257,0.022535506287562408,0.022640193328937866,0.022850723355073554,0.02327527198183815,1.0139875742523308,1.028050937713882,21.12121212121212
34.0,0.026741132414851782,0.026819126090385524,0.02697582815705515,0.027291388353030528,0.027929024887634088,1.0176091592639294,1.0353352165883234,20.5
35.0,0.03145972134720045,0.031573649150630434,0.031802788889170035,0.03226494694540981,0.03320100431403447,1.0218947702712904,1.043965182730895,19.914285714285715
36.0,0.03664419391279162,0.036807071410705515,0.03713505812128615,0.03779778166990945,0.03914370105891242,1.0269163022547831,1.054090205839072,19.36111111111111
37.0,0.0422964494133402,0.042524766954642496,0.04298516381970273,0.04391735403011027,0.045816372765597184,1.0327476709502752,1.0658647936708976,18.83783783783784
38.0,0.04841553266456944,0.04872984919254338,0.049364647932949306,0.05065295763085163,0.05328658436833657,1.0394646909476282,1.0794482813027315,18.342105263157894
