iteration,rho0,B_A,K,m_ratio,E_sym,objective_value
1,0.1683,-16.77999355,398.995,0.7425,26.1,353.3492383330236
2,0.1683,-16.77999355,398.995,0.7425,26.361,359.8203060120446
3,0.1683,-16.77999355,398.995,0.75,26.1,272.41578478623234
4,0.1683,-16.77999355,398.995,0.75,26.361,277.2226557117648
5,0.1683,-16.77999355,401.0,0.7425,26.1,344.58287356352366
6,0.1683,-16.77999355,401.0,0.7425,26.361,351.0590096618873
7,0.1683,-16.77999355,401.0,0.75,26.1,265.15857672228674
8,0.1683,-16.77999355,401.0,0.75,26.361,269.9470220122463
9,0.1683,-16.613855,398.995,0.7425,26.1,363.2874634920422
10,0.1683,-16.613855,398.995,0.7425,26.361,369.9421966246178
11,0.1683,-16.613855,398.995,0.75,26.1,279.1358117171267
12,0.1683,-16.613855,398.995,0.75,26.361,284.22308079265184
13,0.1683,-16.613855,401.0,0.7425,26.1,354.4637118569515
14,0.1683,-16.613855,401.0,0.7425,26.361,361.1292237317909
15,0.1683,-16.613855,401.0,0.75,26.1,271.63668950138566
16,0.1683,-16.613855,401.0,0.75,26.361,276.56352618786946
17,0.1683,-16.44771645,398.995,0.7425,26.1,373.621307449126
18,0.1683,-16.44771645,398.995,0.7425,26.361,380.4672746093917
19,0.1683,-16.44771645,398.995,0.75,26.1,286.57498671575104
20,0.1683,-16.44771645,398.995,0.75,26.361,291.8059112398135
21,0.1683,-16.44771645,401.0,0.7425,26.1,364.7573780827571
22,0.1683,-16.44771645,401.0,0.7425,26.361,371.61737598129247
23,0.1683,-16.44771645,401.0,0.75,26.1,278.5949295851433
24,0.1683,-16.44771645,401.0,0.75,26.361,283.8071305587042
25,0.17,-16.77999355,398.995,0.7425,26.1,350.52025167888416
26,0.17,-16.77999355,398.995,0.7425,26.361,357.1292921930889
27,0.17,-16.77999355,398.995,0.75,26.1,271.2541065729661
28,0.17,-16.77999355,398.995,0.75,26.361,276.2898373989544
29,0.17,-16.77999355,401.0,0.7425,26.1,341.5832878011519
30,0.17,-16.77999355,401.0,0.7425,26.361,348.20148715897545
31,0.17,-16.77999355,401.0,0.75,26.1,263.308262426341
32,0.17,-16.77999355,401.0,0.75,26.361,268.3224344649531
33,0.17,-16.613855,398.995,0.7425,26.1,360.2981184296109
34,0.17,-16.613855,398.995,0.7425,26.361,367.0976190018792
35,0.17,-16.613855,398.995,0.75,26.1,278.27347817704003
36,0.17,-16.613855,398.995,0.75,26.361,283.4516295154719
37,0.17,-16.613855,401.0,0.7425,26.1,351.3073923432569
38,0.17,-16.613855,401.0,0.7425,26.361,358.1194229753806
39,0.17,-16.613855,401.0,0.75,26.1,270.25642435824824
40,0.17,-16.613855,401.0,0.75,26.361,275.41477385877454
41,0.17,-16.44771645,398.995,0.7425,26.1,370.50017334812594
42,0.17,-16.44771645,398.995,0.7425,26.361,377.4973554260244
43,0.17,-16.44771645,398.995,0.75,26.1,285.5518298315659
44,0.17,-16.44771645,398.995,0.75,26.361,290.8781234564563
45,0.17,-16.44771645,401.0,0.7425,26.1,361.4519438041396
46,0.17,-16.44771645,401.0,0.7425,26.361,368.465532843378
47,0.17,-16.44771645,401.0,0.75,26.1,277.4625067531862
48,0.17,-16.44771645,401.0,0.75,26.361,282.7708902355458
49,0.1692546683385575,-16.621685322041408,399.23787728766496,0.7444985803297838,26.377866748119693,343.3480516016003
50,0.17,-17.0,212.0,0.55,26.1,2000258.3286356344
51,0.145,-15.6,350.52877946077007,0.75,44.0,2000274.2346768565
52,0.16917407042370944,-16.650968320218425,400.04050398039465,0.7490845952297873,26.233636203816346,284.66947079862797
53,0.16922576861874936,-16.613796338934915,400.00173081142714,0.7492636600395446,26.22867379888159,284.588860916054
54,0.16917490561325255,-16.630444113167997,400.02232764823106,0.7489427427748583,26.229567988211762,286.98180470998784
55,0.1692871508326947,-16.7515794514559,399.88537184870233,0.75,26.250502622515327,272.21460482915467
56,0.16915986672166067,-16.696485377823088,399.63978438626987,0.75,26.22477187986004,275.1046145374404
57,0.16925638357497833,-16.56724788691928,399.62918037849965,0.75,26.1,278.2637210478361
58,0.16742088173299555,-16.73383644984878,399.31526921832096,0.75,26.1,274.1596320819479
59,0.1690818441512607,-16.947184743298426,399.96154536369363,0.75,26.1,261.5186101855096
