# ForwardDiff Temperature Scan Results
# Generated on: 2025-09-22T14:26:33.123
# Model Parameters:
# gsigma = 1.25
# gdelta = 0.01
# fs = 8.334683362540584
# fo = 5.0294591880396045
# fr = 0.6061852566116328
# fd = 0.0
# b = -0.002253019486143633
# c = 0.021120804139031873
# mu_B = 632.0 MeV
# T_range = 20.0 - 200.00000000000003 MeV
# T_step = 1.0 MeV
# nodes = 256
#
T_MeV,P_T4,kappa1,kappa2,kappa3,kappa4,kappa3_over_kappa1,kappa4_over_kappa2,mu_over_T
20.0,1.5294221079067538e-5,1.5294223529518046e-5,1.5294228430420676e-5,NaN,NaN,NaN,NaN,31.6
21.0,2.958288915435856e-5,2.9582899212958816e-5,2.9582919330173686e-5,NaN,NaN,NaN,NaN,30.095238095238095
22.0,5.3724562008700384e-5,5.37245982245076e-5,5.372467065622498e-5,NaN,NaN,NaN,NaN,28.72727272727273
23.0,9.237553961640494e-5,9.237565597230353e-5,9.237588868472005e-5,NaN,NaN,NaN,NaN,27.47826086956522
24.0,0.0001514311022100556,0.0001514314406037545,0.00015143211739435559,NaN,NaN,NaN,NaN,26.333333333333332
24.999999999999996,0.0002380573167918067,0.00023805821839804794,0.00023806002162504112,NaN,NaN,NaN,NaN,25.280000000000005
25.999999999999996,0.0003606593573499171,0.0003606615805812936,0.0003606660271024696,NaN,NaN,NaN,NaN,24.30769230769231
27.0,0.0005287893982831898,0.000528794516072079,0.0005288047518616851,0.0005288252240764012,0.000528866170362172,1.0000580717147944,1.0001161458936794,23.407407407407405
28.0,0.0007530019268372202,0.0007530130065539816,0.000753035166686984,0.0007530794890515009,0.0007531681400139755,1.0000882886443403,1.0001765831569016,22.57142857142857
29.0,0.001044667480255951,0.0010446901839731432,0.0010447355935315535,0.0010448264190208102,0.001045008089043342,1.0001304071290773,1.0002608272499527,21.79310344827586
30.0,0.0014157573706465496,0.001415801648840312,0.0014158902112090294,0.0014160673538915237,0.0014164216930088764,1.0001876710988644,1.0003753693581885,21.066666666666666
31.0,0.0018786121444167565,0.001878694729035353,0.001878859914006365,0.0018791903311553358,0.0018798513069906754,1.0002638013043434,1.000527656679947,20.387096774193548
32.0,0.002445705661832221,0.0024458535911756132,0.0024461494887738394,0.0024467414007231,0.0024479255748346097,1.0003629855649128,1.0007260742112947,19.75
33.0,0.003129415122916131,0.003129670547433922,0.003130181487452072,0.003131203640494059,0.003133248765688868,1.0004898576501589,1.000979904280021,19.151515151515152
34.0,0.003941805423429854,0.003942231945551109,0.0039430851919238456,0.003944792291229813,0.003948208310051083,1.0006494660167302,1.0012992664063487,18.588235294117645
35.0,0.00489443415526548,0.004895124945974717,0.004896506955946417,0.004899272262016071,0.00490480673422911,1.0008472339495162,1.0016950406396572,18.057142857142857
36.0,0.005998181558723275,0.005999269468279631,0.0060014461579045554,0.006005802149900104,0.006014521976781642,1.0010889128509752,1.0021787780033424,17.555555555555554
37.0,0.007263107915937837,0.007264777756631784,0.0072681191380405425,0.007274807003890338,0.007288198056367239,1.0013805304985963,1.0027626017055231,17.08108108108108
38.0,0.008698339317412465,0.008700842444407221,0.008705851900212594,0.008715880424211522,0.008735966336934046,1.0017283360663503,1.0034591028042548,16.63157894736842
39.0,0.010311981467437044,0.01031565272225766,0.010323001063872779,0.010337715258517859,0.01036719624385499,1.0021387436020017,1.0042812336944225,16.205128205128204
40.0,0.01211106021899054,0.012116337232372152,0.012126901558362059,0.01214806114116337,0.01219047323172242,1.0026182754889372,1.0052422024747554,15.8
41.0,0.01410148682438992,0.014108931604495936,0.01412383883929312,0.014153706400779136,0.014213601072165617,1.0031735072178627,1.0063553707949975,15.414634146341463
42.0,0.016288045422531837,0.016298368084470938,0.016319042943609363,0.01636048140265939,0.016443625083866577,1.0038110145670127,1.0076341572656993,15.047619047619047
43.0,0.018674400019699843,0.01868848444598053,0.018716701447534876,0.018773280155972887,0.018886872724420422,1.00453732405308,1.0090919480316847,14.697674418604652
44.0,0.021263118120188697,0.021282049281941006,0.021319988310178926,0.02139609695949345,0.021549007956227394,1.0053588672801927,1.0107420155544422,14.363636363636365
45.0,0.024055708188936053,0.024080800806494957,0.02413110563669104,0.024232074942400303,0.024435095940771406,1.006281939588344,1.012597446161694,14.044444444444446
46.0,0.02705266824811033,0.027085496428327943,0.027151335543739538,0.02728356354108482,0.027549674862972783,1.0073126631915716,1.0146710764408453,13.73913043478261
47.0,0.030253543094820996,0.03029597055203598,0.030381099526364783,0.030552182205701064,0.03089683200075903,1.0084569548027853,1.0169754380991607,13.446808510638297
48.0,0.03365698785421114,0.03371119830232232,0.03382002298349928,0.03403888792342105,0.034480281500204504,1.0097204975676037,1.0195227104673277,13.166666666666666
49.0,0.0372608358321253,0.03732936312632009,0.037467002839003886,0.037744044456105644,0.038303441668672285,1.011108716973882,1.022324679485642,12.89795918367347
49.99999999999999,0.04106216888954382,0.0411479264971046,0.04132027647981753,0.04166749150038832,0.04236950992917225,1.0126267602650714,1.0253927015678903,12.640000000000002
50.99999999999999,0.04505738881588525,0.04516369820497221,0.045377490510573174,0.04580861227431989,0.04668153387835615,1.0142794787623632,1.0287376704421134,12.3921568627451
51.99999999999999,0.04924228842213253,0.0493729059741076,0.049635768086074714,0.05016639830688917,0.051242477138912244,1.0160714123895744,1.0323699846862708,12.153846153846155
52.99999999999999,0.05361212130209994,0.05377126337524933,0.05409177382345739,0.05473951044821595,0.0560552788889257,1.018006775593305,1.0362995133396202,11.924528301886793
53.99999999999999,0.05816166941768505,0.058354035216471895,0.05874177551107483,0.059526335324874335,0.061122906078312035,1.0200894437557513,1.040535556620829,11.703703703703706
54.99999999999999,0.0628853078498916,0.0631160997824879,0.06358170201939434,0.06452503663451607,0.06644839739922846,1.0223229391056115,1.045086798383593,11.490909090909092
55.99999999999999,0.06777706622125189,0.06805200745746118,0.06860719698001541,0.06973360080611268,0.07203489806634036,1.0247104150410649,1.0499612465922985,11.285714285714288
56.99999999999999,0.07283068643738111,0.07315603540766441,0.07381366793293853,0.07514987664717142,0.07788568437081717,1.0272546376850011,1.0551661575953406,11.087719298245617
58.0,0.07803967651677228,0.07842223811955018,0.07919633075071301,0.0807716086584527,0.08400417681370054,1.029957963394529,1.0607079395902976,10.89655172413793
59.0,0.08339736037998541,0.0838444936874497,0.08475024923280451,0.08659646372167258,0.09039394037870736,1.0328223108422778,1.0665920300765126,10.711864406779661
60.0,0.08889692355376856,0.08941654582499586,0.09047036982647168,0.09262205085840709,0.09705867019187794,1.0358491261749807,1.072822741611901,10.533333333333333
61.0,0.09453145481413323,0.09513204163739021,0.09635155147376512,0.09884593372100153,0.10400216041498905,1.0390393396345614,1.0794030695323786,10.360655737704919
62.0,0.10029398384681808,0.1009845652397615,0.10238859061012637,0.10526563541091542,0.11122825374556979,1.042393311898602,1.0863344546767222,10.193548387096774
63.0,0.10617751504565232,0.10696766734197838,0.10857624135057638,0.11187863512879757,0.11874076834334063,1.0459107682615785,1.0936164935010462,10.031746031746032
64.0,0.1121750576007586,0.11307489094420177,0.11490923089671176,0.1186823560460302,0.12654339836962913,1.0495907186379292,1.1012465872595993,9.875
65.0,0.11827965205088564,0.1192997933018782,0.12138227018359003,0.12567414365199944,0.13463958361956233,1.0534313612261799,1.10921952123585,9.723076923076924
66.0,0.12448439348884209,0.12563596432533145,0.1279900597619844,0.13285123367786364,0.14303234296237616,1.0574299675357959,1.1175269644249326,9.575757575757576
67.0,0.1307824516173141,0.13207704157903188,0.1347272908802105,0.14021070852955378,0.15172406547463496,1.0615827463522862,1.1261568794516676,9.432835820895523
68.0,0.1371670878554432,0.13861672204028921,0.14158864169258298,0.14774944098456633,0.16071625229772005,1.0658846841120848,1.1350928321402143,9.294117647058824
69.0,0.14363166969543328,0.14524877076770326,0.14856876848041325,0.15546402372451454,0.17000920139192185,1.0703293590907461,1.144313189984712,9.159420289855072
70.0,0.15016968250402854,0.15196702661727338,0.15566229172824042,0.16335068309579406,0.179601626542112,1.0749087267936765,1.1537901989498236,9.028571428571428
71.0,0.156774738956767,0.15876540512963072,0.16286377685494896,0.1714051753240611,0.1894902012553998,1.0796128740018023,1.1634889286901722,8.901408450704226
72.0,0.16344058628409602,0.1656378986962922,0.17016770935897138,0.17962266326720924,0.19966901766834713,1.0844297390934607,1.173366077621356,8.777777777777779
72.99999999999999,0.1701611114984021,0.17257857409714772,0.1775684641019449,0.18799757169307874,0.21012895036423002,1.089344796575103,1.18336863151326,8.657534246575343
74.0,0.17693034476017586,0.17958156748634835,0.18506026842932138,0.19652341903330464,0.22085691523151027,1.0943407042498623,1.1934323726319485,8.54054054054054
75.0,0.18374246103046904,0.1866410768904445,0.19263715881383078,0.20519262362058424,0.23183501437475593,1.0993969121868559,1.2034802413111112,8.426666666666666
76.0,0.1905917801457899,0.1937513522718523,0.20029293071316237,0.21399628259604286,0.24303955984443765,1.1044892336843406,1.2134205584743893,8.31578947368421
77.0,0.1974727654410985,0.20090668320368704,0.20802108136275307,0.22292392201655578,0.25443997187628625,1.1095893798144425,1.223145126491226,8.207792207792208
78.0,0.20438002103685687,0.2081013841997556,0.21581474528493352,0.23196321724583016,0.2659975517537873,1.114664460968552,1.2325272372033662,8.102564102564102
79.0,0.2113082878975117,0.21532977774731984,0.22366662239471116,0.24109968353187508,0.27766413569977755,1.1196764611664398,1.2414196303719174,8.0
80.0,0.21825243876163092,0.22258617510152537,0.23156889872900413,0.25031633781693385,0.28938064479108744,1.1245816938215516,1.2496524636053916,7.9
81.0,0.2252074720384795,0.22986485492056602,0.23951316002962092,0.2595933343567672,0.301075557135908,1.1293302512316394,1.2570313760574725,7.802469135802469
82.0,0.23216850476234613,0.23716003985124384,0.24749029868050088,0.2689075787059074,0.31266334283370245,1.1338654643277042,1.2633357529595013,7.7073170731707314
83.0,0.23913076469476513,0.24446587121723432,0.2554904148463159,0.2782323271079969,0.324042919784472,1.138123394168004,1.2683173260311633,7.614457831325302
84.0,0.246089581666086,0.25177638201839664,0.26350271309058937,0.28753678135121274,0.3350962092020157,1.1420323822518157,1.271699275015864,7.523809523809524
85.0,0.25304037825195286,0.2590854685203014,0.27151539627280546,0.296785692713768,0.3456868934225654,1.1455126928143886,1.2731760267297552,7.435294117647059
86.0,0.25997865988726665,0.2663868607995419,0.2795155591368157,0.30593899269083047,0.355659504412259,1.1484762866027836,1.2724139776354018,7.348837209302326
87.0,0.26690000453032486,0.27367409271269794,0.287489084702054,0.31495147265259094,0.3648389977768777,1.1508267718392542,1.2690533908617336,7.264367816091954
88.0,0.2738000520030472,0.2809404718742915,0.2954205473401983,0.3237725392332279,0.37303099164344106,1.1524595836021159,1.2627117341769347,7.1818181818181825
89.0,0.2806744931493934,0.28817905035991037,0.30329312723672064,0.3323460767808047,0.38002286928069273,1.1532624469604351,1.2529887265928201,7.1011235955056184
90.0,0.28751905897307795,0.2953825969912632,0.3110885417579636,0.34061045216627955,0.38558595413566205,1.1531161809656447,1.2394733407945953,7.022222222222223
91.0,0.2943295099368438,0.30254357220488803,0.3187870000116477,0.3484987000756492,0.3894789610352269,1.1518958989472086,1.2217529605065334,6.945054945054945
92.0,0.3011016256282866,0.30965410664767656,0.3263671875251547,0.3559389278833738,0.3914529014131227,1.1494726543005611,1.199424808546207,6.869565217391305
92.99999999999999,0.3078311950202996,0.3167059847701148,0.3338062883768201,0.3628549775237356,0.3912575679207101,1.1457155689278138,1.1721096382673164,6.795698924731183
93.99999999999999,0.31451400757635456,0.32369063478942295,0.3410800521918175,0.36916737661074034,0.38864963973737787,1.140494462717163,1.1394675157338374,6.723404255319149
95.0,0.32114584547022645,0.3305991264547507,0.3481629130396929,0.3747946016595325,0.38340233195723544,1.1336829763548417,1.1012153150083652,6.652631578947369
96.0,0.32772247720439124,0.3374221780489342,0.35502816633297885,0.3796546621145927,0.3753163621832322,1.125162146453615,1.0571453134544406,6.583333333333333
97.0,0.3342396529188916,0.3441501739897036,0.36164820823380744,0.3836669948775322,0.3642318321346843,1.114824352490407,1.0071440251660435,6.515463917525773
98.0,0.3406931016805131,0.35077319423248504,0.36799483977477226,0.38675463561804396,0.3500404353895784,1.1025775115578278,0.9512101735008495,6.448979591836735
98.99999999999999,0.34707853102842545,0.35728105641592567,0.37403963489922376,0.38884660654988584,0.33269722532439444,1.0883493528893213,0.889470511364476,6.383838383838385
99.99999999999999,0.3533916290248446,0.3636633713245174,0.37975436801107537,0.3898804325734068,0.3122310362523611,1.0720915641116202,0.8221920866575918,6.320000000000001
100.99999999999999,0.3596280690164349,0.3699096117732826,0.3851114925743025,0.3898046715037275,0.28875257527950104,1.0537835706270822,0.7497895566536223,6.2574257425742585
101.99999999999999,0.3657835172534424,0.3760091944608488,0.39008465809189163,0.388581322847584,0.2624592201175289,1.0334356940520089,0.6728263075029776,6.19607843137255
102.99999999999999,0.37185364343946326,0.3819515737140226,0.39464924878003277,0.38618796675565764,0.23363568893485753,1.0110914402065192,0.5920084471390442,6.135922330097088
103.99999999999999,0.3778341341971969,0.3877263453950923,0.39878292384614067,0.3826194834881472,0.20264999857105365,0.9868286951155171,0.5081712040639947,6.0769230769230775
104.99999999999999,0.3837207093376985,0.3933233586075204,0.40246613689675065,0.3778892161443983,0.1699444849989859,0.9607596596404459,0.4222578483480804,6.01904761904762
105.99999999999999,0.3895091407171105,0.3987328322671607,0.4056826110119359,0.3720294661485395,0.13602209222892558,0.9330294273316091,0.3352918970069525,5.962264150943397
106.99999999999999,0.395195273361306,0.4039454731556241,0.40841974668483766,0.36509125077087606,0.10142859328016333,0.9038132001301594,0.24834399928863382,5.906542056074767
107.99999999999999,0.4007750484415644,0.40895259178579046,0.4106689422358526,0.357143301543897,0.06673182820092187,0.8733122340277741,0.16249543449184647,5.851851851851853
108.99999999999999,0.40624452759975294,0.41374621232074793,0.41242581037400705,0.3482703368710681,0.03249936869385266,0.8417487012571827,0.07880052090915626,5.79816513761468
109.99999999999999,0.41159991805548396,0.41831917291444914,0.4136902800002101,0.33857069548108965,-0.0007238037354360792,0.8093597363043435,-0.0017496271254807138,5.745454545454546
110.99999999999999,0.41683759788509084,0.42266521318343286,0.41446657866694564,0.32815346359506403,-0.03243601695576433,0.7763909906932616,-0.07825966827069318,5.693693693693695
111.99999999999999,0.4219541408462787,0.4267790460517984,0.41476309775384684,0.3171352625542544,-0.06219660976493498,0.7430900497297693,-0.14995695157491412,5.642857142857144
112.99999999999999,0.42694634013406413,0.4306564118969244,0.41459214878258327,0.3056368817002309,-0.0896395243001483,0.7097000607839171,-0.2162113406232308,5.592920353982302
113.99999999999999,0.4318112304923483,0.43429411370770166,0.4139696248175085,0.2937799422056388,-0.11448212139117256,0.6764538890420356,-0.27654715353002063,5.543859649122808
114.99999999999999,0.43654610816821804,0.43769003279053814,0.41291458514027946,0.2816837623191398,-0.13652901326127115,0.6435690585029679,-0.3306471075970546,5.495652173913045
115.99999999999999,0.44114854827839883,0.44084312536090214,0.4114487840739331,0.26946256608277036,-0.15567114717184738,0.6112436614774728,-0.3783487840952639,5.448275862068966
117.0,0.44561641925359424,0.4437534010861148,0.40959616587964026,0.2572231403165171,-0.17188073802287118,0.579653338288669,-0.41963463611468055,5.401709401709402
118.0,0.4499478941304192,0.4464218852560158,0.4073823471495381,0.24506300340558052,-0.18520290355751493,0.5489493492574649,-0.4546169092828472,5.3559322033898304
118.99999999999997,0.45414145856628224,0.44885056672426094,0.4048341063076582,0.23306910881386575,-0.19574498935308288,0.5192576908498043,-0.4835190175511652,5.3109243697479
119.99999999999997,0.45819591555412514,0.4510423340717661,0.40197889703743245,0.2213170700963145,-0.20366458769691673,0.4906791522170076,-0.5066549244199537,5.2666666666666675
120.99999999999997,0.46211038690678513,0.4530009025968558,0.3988443990484888,0.2098708651121421,-0.20915717522221922,0.463290169862895,-0.5244079538817625,5.22314049586777
121.99999999999997,0.4658843116613443,0.4547307347474657,0.3954581159380108,0.1987829564699541,-0.2124441469663363,0.4371443170216942,-0.537210233914222,5.18032786885246
122.99999999999997,0.4695174416198616,0.45623695650108487,0.39184702630695933,0.1880947530970386,-0.21376184021289488,0.4122742588402992,-0.5455237015003944,5.1382113821138224
123.99999999999997,0.4730098342934773,0.45752527199475196,0.38803729100271034,0.17783733342597655,-0.21335194766598498,0.38869401170044315,-0.5498233098027034,5.096774193548388
124.99999999999997,0.4763618435518486,0.4586018784382838,0.3840540165415849,0.16803235263966176,-0.21145353810582182,0.36640136148564567,-0.5505828060593292,5.056000000000001
125.99999999999997,0.4795741083002499,0.4594733830359585,0.3799210725049243,0.15869306303947509,-0.20829674806233642,0.34538031776925743,-0.5482632134326706,5.015873015873017
127.00000000000001,0.48264753951405637,0.4601467233190635,0.3756609590228928,0.1498253862177658,-0.20409808779848318,0.3256035056320017,-0.5433039630451602,4.976377952755905
128.00000000000003,0.48558330595641547,0.460629091973051,0.37129471933179714,0.141428986820278,-0.19905722031618223,0.3070344215874065,-0.5361164863168989,4.937499999999999
129.00000000000003,0.4883828188921112,0.46092786694375065,0.3668418917507428,0.13349830905906118,-0.19335502069118826,0.28962950308090757,-0.527079990151634,4.89922480620155
130.00000000000003,0.4910477160908329,0.4610505473368372,0.3623204951895484,0.12602354789107537,-0.1871526993763654,0.2733399810910631,-0.5165390913877401,4.861538461538461
131.00000000000003,0.49357984538844596,0.4610046953898429,0.3577470423835997,0.11899153633583644,-0.18059177091693496,0.25811350193562066,-0.5048029739496566,4.82442748091603
132.00000000000003,0.49598124804708504,0.4607978845986068,0.3531365753666404,0.11238653846184038,-0.17379466242303207,0.24389551735841491,-0.4921457434495183,4.787878787878787
133.00000000000003,0.49825414212569324,0.46043765392036157,0.3485027181626711,0.10619094403258704,-0.16686577847098297,0.23063045154633266,-0.47880768147436603,4.75187969924812
134.0,0.500400906043078,0.45993146785121647,0.34385774223778265,0.10038586572596604,-0.15989286622297588,0.2182626602936417,-0.4649971385911318,4.716417910447761
135.0,0.5024240624867409,0.45928668208351053,0.3392126408504269,0.09495164337813569,-0.15294855295027465,0.20673720158267284,-0.45089284575841054,4.681481481481481
136.0,0.5043262627934729,0.45851051438421475,0.3345772090352848,0.08986826205782375,-0.14609195552580706,0.19600043889618962,-0.43664646479372143,4.647058823529411
137.0,0.506110271902292,0.45761002029498554,0.3299601265240192,0.08511569216848196,-0.13937028610014665,0.18600049910099106,-0.4223852365688837,4.613138686131387
138.0,0.5077789539573213,0.45659207323336853,0.32536904142828366,0.08067416041707033,-0.1328203995977541,0.17668760617277954,-0.40821461997339337,4.579710144927536
139.0,0.5093352586175715,0.45546334856909215,0.3208106529761924,0.07652436057154406,-0.12647024630854675,0.16801431072765144,-0.3942208437758213,4.546762589928057
140.0,0.5107822081125303,0.4542303112557187,0.3162907919990819,0.07264761261900199,-0.12034020710901827,0.15993563357356716,-0.38047331807676393,4.514285714285714
141.0,0.5121228850668494,0.45289920661318844,0.31181449821102897,0.06902597836762032,-0.11444429975290522,0.15240913951649718,-0.3670268714556432,4.482269503546099
