idx,rho0,B_A,K,m_ratio,E_sym,objective_value,eval_time_s
85,0.17,-16.77999355,398.995,0.75,25.839000000000002,266.25936663345897,1.7486114501953125
86,0.17,-16.77999355,398.995,0.75,26.1,271.2541065729661,1.7630360126495361
87,0.17,-16.77999355,398.995,0.75,26.361,276.2898373989544,1.7473974227905273
88,0.17,-16.77999355,398.995,0.7575,25.839000000000002,199.60856102332968,1.7750093936920166
89,0.17,-16.77999355,398.995,0.7575,26.1,203.23702145607785,1.794100284576416
90,0.17,-16.77999355,398.995,0.7575,26.361,206.9021349359703,1.7766075134277344
91,0.17,-16.77999355,401.0,0.7425,25.839000000000002,335.006155619529,1.7316224575042725
92,0.17,-16.77999355,401.0,0.7425,26.1,341.5832878011519,1.7245256900787354
93,0.17,-16.77999355,401.0,0.7425,26.361,348.20148715897545,1.734560489654541
94,0.17,-16.77999355,401.0,0.75,25.839000000000002,258.33590444017466,1.7445955276489258
95,0.17,-16.77999355,401.0,0.75,26.1,263.308262426341,1.7583496570587158
96,0.17,-16.77999355,401.0,0.75,26.361,268.3224344649531,1.7574212551116943
97,0.17,-16.77999355,401.0,0.7575,25.839000000000002,193.28142660263583,1.7838222980499268
98,0.17,-16.77999355,401.0,0.7575,26.1,196.87316682918015,1.7833552360534668
99,0.17,-16.77999355,401.0,0.7575,26.361,200.5020280995045,1.7750630378723145
100,0.17,-16.77999355,403.005,0.7425,25.839000000000002,326.2755886273962,1.7206294536590576
101,0.17,-16.77999355,403.005,0.7425,26.1,332.70111506778767,1.73793625831604
102,0.17,-16.77999355,403.005,0.7425,26.361,339.2779886119644,1.74153470993042
103,0.17,-16.77999355,403.005,0.75,25.839000000000002,250.44638237657702,1.8912136554718018
104,0.17,-16.77999355,403.005,0.75,26.1,255.39573284066282,1.7631406784057617
105,0.17,-16.77999355,403.005,0.75,26.361,260.38776243096737,1.7876253128051758
106,0.17,-16.77999355,403.005,0.7575,25.839000000000002,187.01501703335927,1.8159332275390625
107,0.17,-16.77999355,403.005,0.7575,26.1,190.56943740047984,1.8070056438446045
108,0.17,-16.77999355,403.005,0.7575,26.361,194.1614640662464,1.8028204441070557
109,0.17,-16.613855,398.995,0.7425,25.839000000000002,353.5389644433464,1.7313294410705566
110,0.17,-16.613855,398.995,0.7425,26.1,360.2981184296109,1.7415482997894287
111,0.17,-16.613855,398.995,0.7425,26.361,367.09761900187914,1.9789912700653076
112,0.17,-16.613855,398.995,0.75,25.839000000000002,273.1370851019914,1.820300579071045
113,0.17,-16.613855,398.995,0.75,26.1,278.27347817704003,1.7840216159820557
114,0.17,-16.613855,398.995,0.75,26.361,283.4516295154719,1.7783446311950684
115,0.17,-16.613855,398.995,0.7575,25.839000000000002,203.95412748980493,1.7978084087371826
116,0.17,-16.613855,398.995,0.7575,26.1,207.6834113189183,1.801659345626831
117,0.17,-16.613855,398.995,0.7575,26.361,211.45024947690067,1.8059186935424805
118,0.17,-16.613855,401.0,0.7425,25.839000000000002,344.5369599576655,1.7438867092132568
119,0.17,-16.613855,401.0,0.7425,26.1,351.3073923432569,1.7321319580078125
120,0.17,-16.613855,401.0,0.7425,26.361,358.1194229753806,1.7301015853881836
121,0.17,-16.613855,401.0,0.75,25.839000000000002,265.1406887072181,1.7808830738067627
122,0.17,-16.613855,401.0,0.75,26.1,270.25642435824824,1.7675797939300537
123,0.17,-16.613855,401.0,0.75,26.361,275.41477385877454,1.8864455223083496
